Marque,Nom,Référence,Condition,Boîte,Papiers,Prix
OMEGA,Seamaster Planet Ocean,232.90.42.21.03.001,Excellent,No,No,"$6,000"
TAG Heuer,Aquaracer,CAK2111,Excellent,Yes,Yes,"$2,475"
Cartier,Pasha C,W31044M7,Excellent,No,No,"$2,800"
Grand Seiko,Elegance Spring Drive,SBGA293,Excellent,Yes,Yes,"$4,800"
Rolex,GMT-Master II,16710,Excellent,Yes,Yes,"$14,700"
Rolex,Datejust,116200,Excellent,No,No,"$7,950"
Rolex,Submariner,16613,Excellent,No,No,"$13,200"
Rolex,Oyster Perpetual,124200,Excellent,No,No,"$6,950"
Panerai,Radiomir Base,PAM 210,Excellent,No,No,"$4,450"
Breitling,Bentley GT,A13362,Excellent,No,No,"$5,075"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,Yes,Yes,"$4,500"
Breitling,Navitimer 1,AB012121,Excellent,No,No,"$6,200"
Zenith,Chronomaster El Primero,97.T384.4061,Excellent,Yes,Yes,"$6,850"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
OMEGA,Speedmaster Dark Side of the Moon,311.92.44.51.01.007,Excellent,No,No,"$8,000"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,700"
Breitling,Navitimer 01,AB0127,Excellent,Yes,Yes,"$6,600"
OMEGA,Speedmaster Day-Date,3220.50.00,Excellent,No,No,"$3,500"
OMEGA,Seamaster Apnea,2595.30.00,Excellent,No,No,"$3,675"
Rolex,Air-King,14000,Excellent,No,No,"$5,600"
Rolex,Oyster Perpetual,124300,Excellent,Yes,Yes,"$27,000"
Rolex,Explorer II,16570,Excellent,Yes,Yes,"$9,150"
Rolex,Explorer II,216570,Excellent,No,No,"$10,500"
Rolex,Sky-Dweller,326933,Excellent,No,No,"$20,300"
TAG Heuer,Carrera,CAR2013-4,Excellent,No,No,"$3,425"
TAG Heuer,Carrera,CAR201W,Excellent,No,No,"$3,050"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Cartier,Tank Solo,W5200027,Excellent,Yes,Yes,"$3,900"
Breitling,Chronomat,A10380,Excellent,Yes,Yes,"$4,250"
OMEGA,Seamaster Planet Ocean,232.32.44.22.01.002,Excellent,No,No,"$5,700"
Grand Seiko,Heritage Hi-Beat 36000,SBGJ261,Excellent,Yes,Yes,"$6,000"
Breitling,SuperOcean,V17369,Excellent,Yes,Yes,"$4,450"
Breitling,Navitimer 1,A17326,Excellent,No,No,"$3,600"
OMEGA,Speedmaster Racing,326.30.40.50.01.001,Excellent,No,No,"$3,900"
Hublot,Classic Fusion,521.NX.2611.RX,Excellent,Yes,Yes,"$7,625"
Panerai,Luminor Due,PAM 676,Excellent,Yes,Yes,"$6,150"
Rolex,Datejust II,116334,Excellent,No,No,"$9,800"
Rolex,Datejust Turn-O-Graph,16264,Excellent,No,No,"$6,850"
Breitling,Navtimer Twin Sixty 2,A39022.1,Very Good,Yes,Yes,"$5,200"
Breitling,Galactic,W72348,Excellent,No,No,"$2,650"
IWC,Pilot Mark XX,IW3282-01,Excellent,Yes,Yes,"$5,100"
Rolex,Air-King,126900,Excellent,Yes,Yes,"$11,000"
Hublot,Big Bang Meca,414.EX.5123.RX,Excellent,Yes,Yes,"$14,000"
Rolex,Oyster Perpetual,67480,Excellent,No,No,"$4,800"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,No,No,"$4,700"
Breitling,Galactic,W72348,Excellent,No,No,"$2,750"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$12,000"
OMEGA,Speedmaster Specialties,3516.20.00,Excellent,Yes,Yes,"$3,725"
OMEGA,Speedmaster '57,331.12.42.51.01.001,Excellent,No,No,"$5,250"
OMEGA,Seamaster Planet Ocean,215.30.40.20.03.001,Excellent,Yes,Yes,"$4,600"
OMEGA,Seamaster Planet Ocean,215.30.44.21.01.001,Excellent,No,No,"$5,000"
Tudor,Heritage Black Bay,79500,Excellent,No,No,"$2,800"
OMEGA,Speedmaster,324.30.38.40.06.001,Excellent,Yes,Yes,"$3,500"
Tudor,Black Bay Pro,79470,Excellent,Yes,Yes,"$4,200"
Tudor,Heritage Black Bay,79220,Excellent,No,No,"$3,900"
TAG Heuer,Monza,CR2110,Excellent,No,No,"$3,225"
Breitling,SuperOcean,A17366,Excellent,Yes,Yes,"$3,250"
IWC,Pilot,IW3240-08,Excellent,Yes,Yes,"$3,900"
Rolex,Datejust,126334,Excellent,Yes,Yes,"$12,600"
Breitling,Cosmonaute,D12022,Excellent,No,No,"$4,500"
Grand Seiko,Elegance Manual Wind,SBGW231,Excellent,Yes,Yes,"$4,000"
OMEGA,Seamaster Aqua Terra,220.10.38.20.02.001,Excellent,Yes,Yes,"$4,900"
Rolex,Air-King,116900,Excellent,No,No,"$8,650"
Rolex,Submariner,126613,Excellent,No,No,"$17,800"
OMEGA,Seamaster 300M,210.92.44.20.01.001,Excellent,Yes,Yes,"$6,550"
Rolex,Yacht-Master,116622,Excellent,No,No,"$13,800"
Zenith,Defy El Primero 21,95.9002.9004,Excellent,Yes,Yes,"$8,500"
OMEGA,De Ville Prestige,424.10.33.20.01.001,Excellent,No,No,"$2,850"
Rolex,GMT-Master II,16710,Excellent,No,No,"$14,200"
Breitling,Top Time,A25310,Excellent,Yes,Yes,"$6,600"
OMEGA,Seamaster 300,233.32.41.21.01.002,Excellent,Yes,Yes,"$4,900"
Rolex,GMT-Master II,16710,Excellent,Yes,Yes,"$14,800"
Rolex,Yacht-Master,126621,Excellent,Yes,Yes,"$17,500"
Panerai,Radiomir,PAM 424,Excellent,Yes,Yes,"$6,350"
IWC,Portuguese,IW5001-14,Excellent,Yes,Yes,"$7,825"
Jaquet Droz,Grande Seconde Off-Centered Chronograph,J007830270,Excellent,Yes,Yes,"$14,500"
Glashutte Original,Senator Excellence,1-36-01-03-02-01,Excellent,Yes,Yes,"$6,500"
Grand Seiko,Elegance Automatic,SBGR261,Excellent,Yes,Yes,"$3,800"
Cartier,Tank Francaise,W5001156,Excellent,Yes,Yes,"$5,400"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Grand Seiko,Elegance Quartz,SBGX349,Excellent,Yes,Yes,"$2,750"
Rolex,Day-Date,118209,Excellent,No,No,"$20,750"
Cartier,Tank Obus,W15122N7,Excellent,No,No,"$10,000"
Breitling,Colt,A32350,Excellent,Yes,Yes,"$2,225"
IWC,Pilot Mark XVIII,IW3270-15,Excellent,Yes,Yes,"$4,250"
OMEGA,Seamaster 300M,210.30.42.20.04.001,Excellent,Yes,Yes,"$4,500"
OMEGA,Speedmaster Racing,329.30.44.51.04.001,Excellent,Yes,Yes,"$6,550"
OMEGA,Seamaster Aqua Terra,231.92.43.22.04.001,Excellent,No,No,"$6,000"
Rolex,GMT-Master II,16710,Very Good,No,No,"$13,075"
Rolex,Date,79160,Excellent,No,No,"$4,150"
OMEGA,De Ville Prestige,424.13.40.21.02.001,Excellent,Yes,Yes,"$3,500"
Rolex,Date,15200,Excellent,No,No,"$5,950"
Rolex,Datejust,16014,Very Good,No,No,"$5,700"
TAG Heuer,Carrera,CBN2010,Excellent,Yes,Yes,"$3,500"
Rolex,Air-King,14010,Excellent,No,No,"$5,000"
TAG Heuer,Grand Carrera,CAV518B,Very Good,Yes,Yes,"$3,450"
Grand Seiko,Heritage Hi-Beat 36000,SBGH269,Excellent,No,No,"$9,900"
Cartier,Tank Solo,W1018255,Excellent,Yes,Yes,"$3,500"
Grand Seiko,Heritage Automatic,SBGR305,Excellent,Yes,Yes,"$5,650"
Breitling,SuperOcean II,M17368,Excellent,Yes,Yes,"$3,600"
OMEGA,Seamaster 300M,210.30.42.20.03.001,Excellent,Yes,Yes,"$4,800"
Breitling,SuperOcean Heritage II,AB2020,Excellent,Yes,Yes,"$3,900"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$3,700"
Rolex,Submariner,16613,Very Good,Yes,Yes,"$11,700"
Rolex,Datejust Turn-O-Graph,16264,Excellent,No,No,"$7,050"
Rolex,Submariner,114060,Excellent,Yes,Yes,"$11,200"
Rolex,Milgauss,116400,Excellent,Yes,Yes,"$9,600"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$13,600"
Rolex,Datejust,126334,Excellent,No,No,"$12,400"
Rolex,Oyster Perpetual,114300,Excellent,Yes,Yes,"$8,100"
Rolex,Oyster Perpetual,76080,Excellent,No,No,"$3,725"
Rolex,Air-King,14000,Excellent,No,No,"$5,600"
Rolex,Datejust,126334,Excellent,No,No,"$12,400"
Rolex,Sea-Dweller Deepsea,116660,Excellent,No,No,"$11,200"
Rolex,Oyster Perpetual,76080,Excellent,No,No,"$3,725"
Rolex,Submariner,126613,Excellent,Yes,Yes,"$18,000"
Longines,Master Collection,L2.673.4.78.6,Excellent,Yes,Yes,"$2,625"
Breitling,SuperOcean,A17376,Excellent,Yes,Yes,"$3,900"
Jaquet Droz,Grande Seconde Quantieme ,J007020240,Excellent,Yes,Yes,"$7,000"
Jaquet Droz,Grande Heure Minute Ardoise,J017030240,Excellent,Yes,Yes,"$6,000"
Jaquet Droz,Grande Seconde Moon Anthracite,J007530242,Excellent,Yes,Yes,"$11,000"
Jaquet Droz,Grande Seconde Email Ivoire,J014013201,Excellent,Yes,Yes,"$13,800"
TAG Heuer,Aquaracer,CAP2111,Excellent,No,No,"$1,775"
Jaquet Droz,Grande Seconde Off-Centered Silver ,J006010240,Excellent,Yes,Yes,"$6,500"
Jaquet Droz,Grande Seconde Quantieme,J007020350,Excellent,Yes,Yes,"$6,500"
Jaeger-LeCoultre,Master Ultra Thin,Q1352420,Excellent,Yes,Yes,"$12,400"
Panerai,Luminor,PAM 1038,Excellent,Yes,Yes,"$16,800"
OMEGA,Speedmaster '57,332.10.41.51.01.001,Excellent,Yes,Yes,"$7,200"
Breitling,Navitimer,U17395,Excellent,No,No,"$6,900"
Rolex,Datejust,16200,Excellent,Yes,Yes,"$6,350"
OMEGA,Speedmaster Professional Moonwatch,311.32.42.30.04.001,Excellent,Yes,Yes,"$26,000"
Cartier,Ballon Bleu,W6920046,Excellent,No,No,"$5,225"
Cartier,Santos Demoiselle,W25075Z5,Excellent,No,No,"$2,600"
OMEGA,Constellation,123.15.24.60.55.005,Excellent,No,No,"$3,425"
Rolex,Date,79190,Excellent,No,No,"$4,500"
Rolex,Yacht-Master,169622,Excellent,No,No,"$6,950"
OMEGA,Seamaster Planet Ocean,232.30.42.21.01.003,Excellent,Yes,Yes,"$4,600"
Rolex,Sea-Dweller,126600,Excellent,No,No,"$14,800"
Zenith,Pilot Montre d'Aeronef Type 20,29.2430.679,Excellent,Yes,Yes,"$4,450"
Rolex,GMT-Master II,16710,Excellent,No,No,"$14,200"
Blancpain,Fifty Fathoms Grande Date,5050 12B30 B52A,Excellent,Yes,Yes,"$13,000"
Panerai,Luminor Marina Logo,PAM 005,Excellent,No,No,"$5,000"
OMEGA,Seamaster Specialties,522.32.40.20.01.003,Excellent,Yes,Yes,"$4,300"
Tudor,Heritage Black Bay,79230,Excellent,Yes,Yes,"$5,850"
Rolex,Datejust,126300,Excellent,Yes,Yes,"$10,400"
Rolex,Daytona,16523,Excellent,No,No,"$19,800"
Rolex,Datejust,126300,Excellent,No,No,"$10,200"
Grand Seiko,Elegance Hi-Beat 36000,SBGJ217,Excellent,Yes,Yes,"$4,250"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Panerai,Luminor Marina,PAM 564,Very Good,Yes,Yes,"$6,100"
Rolex,Submariner,126613,Excellent,No,No,"$17,800"
Rolex,Daytona,116523,Excellent,No,No,"$20,800"
Rolex,Explorer,214270,Excellent,No,No,"$9,450"
Rolex,Sea-Dweller Deepsea,126660,Excellent,No,No,"$14,500"
Grand Seiko,Sport Quartz,SBGP015,Excellent,Yes,Yes,"$3,250"
OMEGA,Seamaster Ploprof,227.90.55.21.01.001,Excellent,Yes,Yes,"$11,600"
Rolex,Datejust,126234,Excellent,No,No,"$14,600"
Cartier,Santos de Cartier,WSSA0037,Excellent,Yes,Yes,"$7,475"
Rolex,Datejust,126231,Excellent,No,No,"$13,900"
Rolex,Yacht-Master,126621,Excellent,No,No,"$17,300"
Grand Seiko,Sport Quartz,SBGV245,Excellent,No,No,"$3,650"
IWC,Pilot Le Petit Prince,IW3777-17,Excellent,Yes,Yes,"$5,750"
Cartier,Panthere,WSPN0006,Excellent,No,No,"$4,025"
OMEGA,Seamaster Aqua Terra,220.12.41.21.06.001,Excellent,Yes,Yes,"$4,500"
Rolex,Oyster Perpetual,124300,Excellent,No,No,"$15,600"
Breitling,Premier Datora,AB2510,Excellent,Yes,Yes,"$9,550"
IWC,Pilot,IW3881-08,Excellent,Yes,Yes,"$9,050"
OMEGA,Seamaster 300M,210.92.42.20.01.001,Excellent,Yes,Yes,"$7,950"
Rolex,Submariner,16613,Excellent,No,No,"$12,600"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$10,500"
Rolex,Yacht-Master II,116680,Excellent,No,No,"$17,800"
Rolex,Datejust,116200,Excellent,No,No,"$7,100"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
Panerai,Radiomir,PAM 685,Excellent,Yes,Yes,"$6,775"
OMEGA,Seamaster Railmaster,220.10.40.20.06.001,Excellent,No,No,"$3,500"
IWC,Portofino,IW3910-08,Excellent,No,No,"$4,250"
Grand Seiko,Heritage Quartz,SBGP017,Excellent,Yes,Yes,"$4,400"
OMEGA,Seamaster 300M,2537.80.00,Excellent,No,No,"$4,900"
OMEGA,Seamaster Planet Ocean,2208.50.00,Excellent,No,No,"$3,425"
OMEGA,De Ville Prestige,424.53.33.20.05.001,Excellent,Yes,Yes,"$4,800"
Rolex,Datejust II,116300,Excellent,Yes,Yes,"$9,900"
Rolex,Oyster Perpetual,67480,Very Good,No,No,"$4,100"
Rolex,Date,15200,Excellent,No,No,"$5,950"
Rolex,Datejust,126200,Excellent,Yes,Yes,"$10,400"
Rolex,Yacht-Master,268655,Excellent,Yes,Yes,"$26,000"
Tudor,Princess Date,92500,Excellent,No,No,"$2,750"
Rolex,Submariner,16610,Excellent,No,No,"$10,500"
Rolex,Yacht-Master,116622,Excellent,No,No,"$14,600"
Cartier,Ballon Bleu,W4BB0015,Excellent,No,No,"$7,850"
Zenith,Elite Captain,03.2122.685,Excellent,Yes,Yes,"$3,600"
Rolex,Oyster Perpetual,116000,Excellent,No,No,"$6,550"
Rolex,Oyster Perpetual,114200,Excellent,No,No,"$7,550"
Rolex,Date,79190,Excellent,No,No,"$4,150"
Rolex,Oyster Perpetual,67180,Very Good,No,No,"$2,950"
OMEGA,Seamaster Aqua Terra,231.10.39.21.03.001,Excellent,No,No,"$6,400"
Rolex,Datejust,126301,Excellent,Yes,Yes,"$15,100"
Panerai,Luminor Marina 1950,PAM 422,Excellent,Yes,Yes,"$8,100"
Panerai,Luminor 1950,PAM 533,Excellent,No,No,"$8,200"
Panerai,Luminor 1950 Submersible,PAM 1305,Very Good,Yes,Yes,"$7,100"
Panerai,Submersible,PAM 683,Excellent,Yes,Yes,"$8,350"
OMEGA,Seamaster Planet Ocean,232.30.44.22.01.002,Excellent,No,No,"$6,200"
Cartier,Tank Solo,W1018355,Very Good,No,No,"$2,725"
OMEGA,Seamaster Aqua Terra,231.10.44.50.04.001,Excellent,Yes,Yes,"$4,400"
OMEGA,Seamaster 300M,210.32.42.20.04.001,Excellent,Yes,Yes,"$5,200"
Breitling,Top Time,A41315,Excellent,Yes,Yes,"$7,600"
Audemars Piguet,150710st,15710ST.OO.A002CA.01,Excellent,Yes,Yes,"$26,000"
Rolex,Explorer,214270,Very Good,Yes,Yes,"$8,875"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$13,300"
Rolex,Datejust,78274,Excellent,No,No,"$6,500"
Cartier,Calibre de Cartier,W7100013,Excellent,Yes,Yes,"$5,650"
Jaeger-LeCoultre,Reverso,Q3958420,Excellent,No,No,"$11,425"
Rolex,Submariner,16610,Excellent,No,No,"$10,500"
Tudor,Glamour Double Date,57003,Excellent,No,No,"$2,650"
Panerai,Radiomir,PAM 448,Excellent,No,No,"$8,000"
Rolex,Datejust,116200,Excellent,Yes,Yes,"$7,700"
Rolex,Oyster Perpetual,114300,Excellent,No,No,"$7,500"
OMEGA,CK 859 Specialties,511.12.39.21.99.002,Excellent,Yes,Yes,"$6,250"
Grand Seiko,Heritage Automatic,SBGR081,Excellent,Yes,Yes,"$4,125"
IWC,Pilot Le Petit Prince,IW3777-17,Excellent,Yes,Yes,"$5,750"
Grand Seiko,Heritage Spring Drive,SBGA413,Excellent,Yes,Yes,"$6,100"
Rolex,Datejust,78240,Excellent,No,No,"$5,300"
Breitling,SuperOcean Heritage II,AB2010,Excellent,Yes,Yes,"$3,900"
Audemars Piguet,Royal Oak Offshore,15720CN.OO.A002CA.01,Excellent,Yes,Yes,"$48,000"
Rolex,Datejust,126200,Excellent,Yes,Yes,"$9,500"
Vacheron Constantin,Quai de l'Île,4500S/000A-B196,Excellent,Yes,Yes,"$17,500"
OMEGA,Speedmaster Moonwatch Anniversary Series,311.33.42.50.01.001,Excellent,No,No,"$10,000"
Rolex,Explorer II,226570,Excellent,No,No,"$14,100"
Breitling,Chronomat 01,AB0134,Excellent,Yes,Yes,"$4,800"
OMEGA,Seamaster 300M,210.30.42.20.06.001,Excellent,Yes,Yes,"$4,700"
OMEGA,Seamaster Planet Ocean,232.32.42.21.01.005,Excellent,No,No,"$4,450"
Rolex,Oyster Perpetual,126000,Excellent,Yes,Yes,"$15,600"
Rolex,Datejust,126200,Excellent,Yes,Yes,"$11,700"
Rolex,Yacht-Master,126622,Excellent,No,No,"$14,900"
Rolex,Yacht-Master,116622,Excellent,No,No,"$14,000"
Tudor,Glamour Double Date,57003,Excellent,No,No,"$2,650"
OMEGA,Seamaster 300M,210.92.42.20.01.001,Excellent,Yes,Yes,"$7,200"
OMEGA,Seamaster 300M,210.92.44.20.01.001,Excellent,Yes,Yes,"$6,550"
Rolex,Yacht-Master,126622,Excellent,Yes,Yes,"$16,500"
Tudor,Heritage Black Bay GMT,79833,Excellent,No,No,"$4,750"
Zenith,Chronomaster El Primero,03.Z386.400,Excellent,Yes,Yes,"$8,550"
OMEGA,Speedmaster Dark Side of the Moon,311.92.44.30.01.001,Excellent,No,No,"$8,500"
Rolex,Oyster Perpetual,126000,Excellent,Yes,Yes,"$15,600"
Breitling,Super Avenger,A13370,Excellent,Yes,Yes,"$4,100"
Cartier,Santos de Cartier,WSSA0010,Excellent,Yes,Yes,"$6,550"
Grand Seiko,Heritage Spring Drive,SBGA387,Excellent,Yes,Yes,"$12,800"
IWC,Pilot Le Petit Prince,IW3777-17,Excellent,Yes,Yes,"$5,350"
Rolex,Datejust,126300,Excellent,Yes,Yes,"$10,400"
Rolex,GMT-Master II,116710,Excellent,Yes,Yes,"$13,700"
IWC,Portuguese,IW5001-26,Excellent,Yes,Yes,"$18,650"
Panerai,Luminor Marina,PAM 113,Very Good,Yes,Yes,"$4,725"
Rolex,Oyster Perpetual,116000,Excellent,Yes,Yes,"$6,250"
Rolex,Datejust,126334,Excellent,No,No,"$12,400"
Rolex,Oyster Perpetual,116000,Excellent,Yes,Yes,"$6,700"
Breitling,Cosmonaute,D22322,Excellent,No,No,"$5,900"
Rolex,Datejust II,116334,Excellent,No,No,"$11,100"
Rolex,Datejust II,116300,Excellent,No,No,"$9,000"
Rolex,Datejust II,116334,Excellent,Yes,Yes,"$10,500"
Rolex,Yacht-Master,126621,Excellent,Yes,Yes,"$17,500"
OMEGA,Seamaster 300M,210.30.42.20.01.001,Excellent,No,No,"$4,300"
Rolex,Datejust,16220,Excellent,No,No,"$6,950"
Rolex,Datejust,126300,Excellent,No,No,"$10,200"
Cartier,Santos de Cartier,W2SA0009,Excellent,Yes,Yes,"$10,000"
Rolex,Datejust,116200,Excellent,Yes,Yes,"$7,250"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$11,200"
Zenith,El Primero,03.2150.400,Excellent,Yes,Yes,"$8,325"
IWC,Da Vinci,IW5461-01,Excellent,Yes,Yes,"$4,350"
Grand Seiko,Heritage Automatic,SBGR321,Excellent,Yes,Yes,"$4,650"
Rolex,Sea-Dweller Deepsea,116660,Excellent,Yes,Yes,"$11,400"
Panerai,Luminor 1950,PAM 329,Excellent,No,No,"$7,450"
Breitling,Chronomat,A10380,Excellent,Yes,Yes,"$4,250"
Breitling,SuperOcean Heritage,U10370,Very Good,Yes,Yes,"$4,200"
Rolex,Explorer,214270,Excellent,Yes,Yes,"$10,700"
Rolex,Explorer,214270,Excellent,No,No,"$9,450"
Rolex,Oyster Perpetual,126000,Excellent,Yes,Yes,"$7,800"
Rolex,Oyster Perpetual,124300,Excellent,Yes,Yes,"$9,100"
Rolex,Oyster Perpetual,124300,Excellent,Yes,Yes,"$9,100"
Rolex,Explorer,214270,Excellent,No,No,"$9,450"
Rolex,Explorer,214270,Excellent,No,No,"$9,000"
Rolex,Explorer,124273,Excellent,Yes,Yes,"$11,500"
Rolex,Explorer II,226570,Excellent,Yes,Yes,"$14,300"
Rolex,Oyster Perpetual,126000,Excellent,Yes,Yes,"$7,300"
Rolex,Yacht-Master,126622,Excellent,Yes,Yes,"$15,100"
Rolex,Submariner,114060,Excellent,No,No,"$11,500"
Rolex,Submariner,14060,Excellent,No,No,"$10,500"
Rolex,Explorer,114270,Excellent,No,No,"$6,850"
Grand Seiko,Elegance Manual Wind,SBGW231,Excellent,Yes,Yes,"$4,000"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Rolex,Explorer,214270,Excellent,Yes,Yes,"$9,600"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,600"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Tudor,Black Bay Pro,79470,Excellent,Yes,Yes,"$3,700"
Grand Seiko,Elegance Manual Wind,SBGW231,Excellent,Yes,Yes,"$4,000"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Rolex,Explorer,114270,Excellent,No,No,"$6,850"
Grand Seiko,Heritage Hi-Beat 36000,SBGH295,Excellent,Yes,Yes,"$6,000"
Rolex,Yacht-Master,126622,Excellent,Yes,Yes,"$15,100"
Grand Seiko,Elegance Manual Wind,SBGW275,Excellent,Yes,Yes,"$6,550"
OMEGA,Seamaster Aqua Terra,220.10.41.21.06.001,Excellent,Yes,Yes,"$4,500"
Rolex,Datejust,126334,Excellent,No,No,"$11,900"
TAG Heuer,Carrera,CAR221A,Excellent,Yes,Yes,"$6,150"
TAG Heuer,Carrera,CAR2A1Z-0,Excellent,Yes,Yes,"$3,725"
Grand Seiko,Elegance Manual Wind,SBGW275,Excellent,Yes,Yes,"$6,550"
Grand Seiko,Heritage Spring Drive,SBGA427,Excellent,Yes,Yes,"$4,600"
Rolex,Air-King,126900,Excellent,Yes,Yes,"$11,000"
Grand Seiko,Elegance Manual Wind,SBGW275,Excellent,Yes,Yes,"$6,550"
Tudor,Heritage Black Bay,79210,Excellent,Yes,Yes,"$4,000"
OMEGA,Seamaster Aqua Terra,220.10.34.20.03.001,Excellent,Yes,Yes,"$4,400"
Grand Seiko,Elegance Manual Wind,SBGW277,Excellent,Yes,Yes,"$5,950"
OMEGA,Speedmaster Professional Moonwatch,310.63.42.50.10.001,Excellent,Yes,Yes,"$28,200"
OMEGA,Seamaster Planet Ocean,215.92.46.22.01.001,Excellent,Yes,Yes,"$7,350"
Rolex,Oyster Perpetual,124300,Excellent,Yes,Yes,"$8,800"
Rolex,Submariner,16610,Very Good,Yes,Yes,"$10,350"
Rolex,Air-King,14000,Excellent,No,No,"$5,600"
Rolex,Explorer II,216570,Excellent,Yes,Yes,"$11,700"
Rolex,Milgauss,116400,Excellent,Yes,Yes,"$10,200"
OMEGA,Seamaster Planet Ocean,232.30.46.51.01.003,Excellent,Yes,Yes,"$5,200"
Rolex,Explorer,214270,Excellent,Yes,Yes,"$10,200"
Rolex,Datejust,116234,Excellent,No,No,"$7,800"
Rolex,Datejust II,116334,Excellent,Yes,Yes,"$10,700"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$12,000"
Breitling,Premier,A45340,Excellent,Yes,Yes,"$4,100"
Rolex,Submariner,14060,Excellent,No,No,"$9,500"
Breitling,Premier B01,AB0118,Excellent,Yes,Yes,"$6,050"
Breitling,Bentley Barnato,A41390,Excellent,Yes,Yes,"$5,700"
Rolex,Milgauss,116400,Excellent,Yes,Yes,"$10,200"
Grand Seiko,Evolution 9 Spring Drive,SLGA007,Excellent,Yes,Yes,"$10,600"
Breitling,Bentley B06,AB0612,Excellent,Yes,Yes,"$6,675"
Breitling,Chronomat,MB0111,Excellent,No,No,"$4,900"
OMEGA,Seamaster Planet Ocean,232.32.42.21.01.003,Excellent,Yes,Yes,"$4,350"
OMEGA,Seamaster Aqua Terra,231.10.42.21.03.004,Excellent,Yes,Yes,"$6,850"
Rolex,Explorer II,16570,Excellent,No,No,"$9,000"
Rolex,Datejust II,116334,Excellent,No,No,"$10,500"
Rolex,Submariner,114060,Excellent,No,No,"$11,000"
Rolex,Oyster Perpetual,116000,Excellent,No,No,"$7,350"
Rolex,Explorer II,16570,Excellent,No,No,"$9,000"
OMEGA,Seamaster 300M,210.60.42.20.99.001,Excellent,Yes,Yes,"$9,550"
OMEGA,Seamaster Aqua Terra,231.10.39.21.01.002,Excellent,No,No,"$4,300"
Rolex,Air-King,14000,Excellent,No,No,"$5,600"
Rolex,Datejust,126334,Excellent,Yes,Yes,"$13,300"
Rolex,Oyster Perpetual,277200,Excellent,Yes,Yes,"$8,100"
Rolex,Datejust,126234,Excellent,Yes,Yes,"$11,500"
Cartier,Santos Dumont,W2006951,Excellent,No,No,"$9,000"
Rolex,Milgauss,116400,Excellent,No,No,"$10,500"
Cartier,Santos de Cartier,WSSA0047,Excellent,Yes,Yes,"$7,550"
